,id,innings,overs,ball_number,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team
93018,980987,1,2,5,V Kohli,P Kumar,CH Gayle,,0,0,0,0,0,,,,Royal Challengers Bangalore
93019,980987,1,2,6,V Kohli,P Kumar,CH Gayle,,1,0,1,0,0,,,,Royal Challengers Bangalore
93020,980987,1,3,1,V Kohli,DS Kulkarni,CH Gayle,,4,0,4,1,0,,,,Royal Challengers Bangalore
93021,980987,1,3,2,V Kohli,DS Kulkarni,CH Gayle,,1,0,1,0,0,,,,Royal Challengers Bangalore
93026,980987,1,4,1,V Kohli,S Kaushik,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93027,980987,1,4,2,V Kohli,S Kaushik,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93028,980987,1,4,3,V Kohli,S Kaushik,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93029,980987,1,4,4,V Kohli,S Kaushik,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
93030,980987,1,4,5,V Kohli,S Kaushik,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93033,980987,1,5,1,V Kohli,PV Tambe,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93034,980987,1,5,2,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93039,980987,1,6,1,V Kohli,S Kaushik,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93042,980987,1,6,4,V Kohli,S Kaushik,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93043,980987,1,6,5,V Kohli,S Kaushik,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93049,980987,1,7,5,V Kohli,DJ Bravo,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93054,980987,1,8,4,V Kohli,RA Jadeja,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93055,980987,1,8,5,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93057,980987,1,9,1,V Kohli,DR Smith,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93058,980987,1,9,2,V Kohli,DR Smith,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
93059,980987,1,9,3,V Kohli,DR Smith,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93061,980987,1,9,5,V Kohli,DR Smith,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93063,980987,1,10,1,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93065,980987,1,10,3,V Kohli,RA Jadeja,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
93066,980987,1,10,4,V Kohli,RA Jadeja,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93067,980987,1,10,5,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93069,980987,1,11,1,V Kohli,DS Kulkarni,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93070,980987,1,11,2,V Kohli,DS Kulkarni,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93076,980987,1,12,2,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93081,980987,1,13,1,V Kohli,DJ Bravo,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93083,980987,1,13,3,V Kohli,DJ Bravo,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93085,980987,1,13,5,V Kohli,DJ Bravo,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93086,980987,1,13,6,V Kohli,DJ Bravo,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93087,980987,1,14,1,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93089,980987,1,14,3,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93102,980987,1,16,4,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93105,980987,1,17,1,V Kohli,DJ Bravo,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
93106,980987,1,17,2,V Kohli,DJ Bravo,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93107,980987,1,17,3,V Kohli,DJ Bravo,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93108,980987,1,17,4,V Kohli,DJ Bravo,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
93112,980987,1,18,1,V Kohli,S Kaushik,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93113,980987,1,18,2,V Kohli,S Kaushik,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
93114,980987,1,18,3,V Kohli,S Kaushik,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93115,980987,1,18,4,V Kohli,S Kaushik,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93116,980987,1,18,5,V Kohli,S Kaushik,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93117,980987,1,18,6,V Kohli,S Kaushik,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93119,980987,1,19,2,V Kohli,P Kumar,AB de Villiers,,2,0,2,0,0,,,,Royal Challengers Bangalore
93120,980987,1,19,3,V Kohli,P Kumar,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93121,980987,1,19,4,V Kohli,P Kumar,AB de Villiers,,6,0,6,0,0,,,,Royal Challengers Bangalore
93122,980987,1,19,5,V Kohli,P Kumar,AB de Villiers,,0,0,0,0,1,V Kohli,caught,DJ Bravo,Royal Challengers Bangalore
93709,980981,1,0,1,V Kohli,TG Southee,CH Gayle,,0,0,0,0,0,,,,Royal Challengers Bangalore
93710,980981,1,0,2,V Kohli,TG Southee,CH Gayle,,0,0,0,0,0,,,,Royal Challengers Bangalore
93711,980981,1,0,3,V Kohli,TG Southee,CH Gayle,,0,0,0,0,0,,,,Royal Challengers Bangalore
93712,980981,1,0,4,V Kohli,TG Southee,CH Gayle,,0,0,0,0,0,,,,Royal Challengers Bangalore
93713,980981,1,0,5,V Kohli,TG Southee,CH Gayle,,6,0,6,0,0,,,,Royal Challengers Bangalore
93714,980981,1,0,6,V Kohli,TG Southee,CH Gayle,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
93715,980981,1,0,7,V Kohli,TG Southee,CH Gayle,,1,0,1,0,0,,,,Royal Challengers Bangalore
93716,980981,1,1,1,V Kohli,MJ McClenaghan,CH Gayle,,0,0,0,0,1,V Kohli,caught,Harbhajan Singh,Royal Challengers Bangalore
94197,980977,1,0,1,V Kohli,Sandeep Sharma,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94198,980977,1,0,2,V Kohli,Sandeep Sharma,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
94199,980977,1,0,3,V Kohli,Sandeep Sharma,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94200,980977,1,0,4,V Kohli,Sandeep Sharma,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94203,980977,1,1,1,V Kohli,Anureet Singh,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94204,980977,1,1,2,V Kohli,Anureet Singh,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94206,980977,1,1,4,V Kohli,Anureet Singh,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94214,980977,1,2,6,V Kohli,MM Sharma,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
94215,980977,1,2,7,V Kohli,MM Sharma,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94216,980977,1,3,1,V Kohli,MP Stoinis,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94223,980977,1,4,2,V Kohli,Anureet Singh,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94227,980977,1,4,6,V Kohli,Anureet Singh,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94231,980977,1,5,4,V Kohli,AR Patel,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94232,980977,1,5,5,V Kohli,AR Patel,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
94233,980977,1,5,6,V Kohli,AR Patel,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94235,980977,1,6,2,V Kohli,MP Stoinis,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94236,980977,1,6,3,V Kohli,MP Stoinis,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94238,980977,1,6,5,V Kohli,MP Stoinis,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
94239,980977,1,6,6,V Kohli,MP Stoinis,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
94241,980977,1,7,2,V Kohli,KC Cariappa,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
94244,980977,1,7,5,V Kohli,KC Cariappa,AB de Villiers,,0,0,0,0,1,V Kohli,caught,M Vijay,Royal Challengers Bangalore
95272,980969,2,0,1,V Kohli,AB Dinda,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
95273,980969,2,0,2,V Kohli,AB Dinda,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95274,980969,2,0,3,V Kohli,AB Dinda,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95277,980969,2,0,6,V Kohli,AB Dinda,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95279,980969,2,1,2,V Kohli,RP Singh,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95280,980969,2,1,3,V Kohli,RP Singh,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95286,980969,2,2,3,V Kohli,AB Dinda,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95288,980969,2,2,5,V Kohli,AB Dinda,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95289,980969,2,2,6,V Kohli,AB Dinda,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95293,980969,2,3,4,V Kohli,RP Singh,KL Rahul,,6,0,6,0,0,,,,Royal Challengers Bangalore
95294,980969,2,3,5,V Kohli,RP Singh,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95300,980969,2,4,5,V Kohli,AB Dinda,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95302,980969,2,5,1,V Kohli,NLTC Perera,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95303,980969,2,5,2,V Kohli,NLTC Perera,KL Rahul,,6,0,6,0,0,,,,Royal Challengers Bangalore
95304,980969,2,5,3,V Kohli,NLTC Perera,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95306,980969,2,5,5,V Kohli,NLTC Perera,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95308,980969,2,6,1,V Kohli,A Zampa,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95312,980969,2,6,5,V Kohli,A Zampa,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95315,980969,2,7,2,V Kohli,R Bhatia,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95316,980969,2,7,3,V Kohli,R Bhatia,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95318,980969,2,7,5,V Kohli,R Bhatia,KL Rahul,,6,0,6,0,0,,,,Royal Challengers Bangalore
95319,980969,2,7,6,V Kohli,R Bhatia,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95321,980969,2,8,2,V Kohli,A Zampa,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
95322,980969,2,8,3,V Kohli,A Zampa,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
95323,980969,2,8,4,V Kohli,A Zampa,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
95324,980969,2,8,5,V Kohli,A Zampa,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95328,980969,2,9,3,V Kohli,NLTC Perera,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95330,980969,2,9,5,V Kohli,NLTC Perera,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95333,980969,2,10,2,V Kohli,R Bhatia,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
95334,980969,2,10,3,V Kohli,R Bhatia,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
95335,980969,2,10,4,V Kohli,R Bhatia,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
95336,980969,2,10,5,V Kohli,R Bhatia,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
95339,980969,2,11,2,V Kohli,A Zampa,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
95341,980969,2,11,4,V Kohli,A Zampa,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
95344,980969,2,12,1,V Kohli,R Bhatia,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
95346,980969,2,12,3,V Kohli,R Bhatia,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
95348,980969,2,12,5,V Kohli,R Bhatia,SR Watson,legbyes,0,1,1,0,0,,,,Royal Challengers Bangalore
95356,980969,2,14,1,V Kohli,R Bhatia,SR Watson,,4,0,4,0,0,,,,Royal Challengers Bangalore
95357,980969,2,14,2,V Kohli,R Bhatia,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
95361,980969,2,14,6,V Kohli,R Bhatia,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
95362,980969,2,15,1,V Kohli,RP Singh,SR Watson,,0,0,0,0,0,,,,Royal Challengers Bangalore
95363,980969,2,15,2,V Kohli,RP Singh,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
95367,980969,2,15,6,V Kohli,RP Singh,TM Head,,1,0,1,0,0,,,,Royal Challengers Bangalore
95368,980969,2,16,1,V Kohli,R Ashwin,TM Head,,0,0,0,0,0,,,,Royal Challengers Bangalore
95369,980969,2,16,2,V Kohli,R Ashwin,TM Head,,4,0,4,0,0,,,,Royal Challengers Bangalore
95370,980969,2,16,3,V Kohli,R Ashwin,TM Head,,1,0,1,0,0,,,,Royal Challengers Bangalore
95373,980969,2,16,6,V Kohli,R Ashwin,TM Head,,1,0,1,0,0,,,,Royal Challengers Bangalore
95374,980969,2,17,1,V Kohli,A Zampa,TM Head,,6,0,6,0,0,,,,Royal Challengers Bangalore
95375,980969,2,17,2,V Kohli,A Zampa,TM Head,,6,0,6,0,0,,,,Royal Challengers Bangalore
95376,980969,2,17,3,V Kohli,A Zampa,TM Head,,0,0,0,0,0,,,,Royal Challengers Bangalore
95377,980969,2,17,4,V Kohli,A Zampa,TM Head,,4,0,4,0,0,,,,Royal Challengers Bangalore
95378,980969,2,17,5,V Kohli,A Zampa,TM Head,,1,0,1,0,0,,,,Royal Challengers Bangalore
95381,980969,2,18,2,V Kohli,RP Singh,TM Head,,2,0,2,0,0,,,,Royal Challengers Bangalore
95382,980969,2,18,3,V Kohli,RP Singh,TM Head,,1,0,1,0,0,,,,Royal Challengers Bangalore
95385,980969,2,18,6,V Kohli,RP Singh,TM Head,,6,0,6,0,0,,,,Royal Challengers Bangalore
95386,980969,2,18,7,V Kohli,RP Singh,TM Head,,6,0,6,0,0,,,,Royal Challengers Bangalore
95388,980969,2,19,2,V Kohli,AB Dinda,TM Head,,2,0,2,0,0,,,,Royal Challengers Bangalore
95389,980969,2,19,3,V Kohli,AB Dinda,TM Head,,4,0,4,0,0,,,,Royal Challengers Bangalore
96365,980959,1,1,4,V Kohli,M Morkel,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
96366,980959,1,1,5,V Kohli,M Morkel,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96368,980959,1,2,1,V Kohli,AD Russell,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96370,980959,1,2,3,V Kohli,AD Russell,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96371,980959,1,2,4,V Kohli,AD Russell,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96375,980959,1,3,1,V Kohli,M Morkel,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96376,980959,1,3,2,V Kohli,M Morkel,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96379,980959,1,3,5,V Kohli,M Morkel,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
96380,980959,1,3,6,V Kohli,M Morkel,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
96382,980959,1,4,2,V Kohli,AD Russell,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96385,980959,1,4,5,V Kohli,AD Russell,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96386,980959,1,4,6,V Kohli,AD Russell,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96392,980959,1,5,6,V Kohli,SP Narine,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96393,980959,1,6,1,V Kohli,UT Yadav,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
96394,980959,1,6,2,V Kohli,UT Yadav,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96397,980959,1,6,5,V Kohli,UT Yadav,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96398,980959,1,6,6,V Kohli,UT Yadav,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96399,980959,1,7,1,V Kohli,PP Chawla,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96401,980959,1,7,3,V Kohli,PP Chawla,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96402,980959,1,7,4,V Kohli,PP Chawla,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
96403,980959,1,7,5,V Kohli,PP Chawla,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
96404,980959,1,7,6,V Kohli,PP Chawla,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96405,980959,1,8,1,V Kohli,UT Yadav,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96408,980959,1,8,4,V Kohli,UT Yadav,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96412,980959,1,9,2,V Kohli,PP Chawla,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
96413,980959,1,9,3,V Kohli,PP Chawla,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96420,980959,1,10,4,V Kohli,SP Narine,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
96422,980959,1,10,6,V Kohli,SP Narine,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
96424,980959,1,11,2,V Kohli,PP Chawla,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
96428,980959,1,11,6,V Kohli,PP Chawla,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
96429,980959,1,12,1,V Kohli,SP Narine,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
96430,980959,1,12,2,V Kohli,SP Narine,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
96431,980959,1,12,3,V Kohli,SP Narine,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
96432,980959,1,12,4,V Kohli,SP Narine,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
96433,980959,1,12,5,V Kohli,SP Narine,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
96435,980959,1,13,1,V Kohli,PP Chawla,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
96437,980959,1,13,3,V Kohli,PP Chawla,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
96441,980959,1,14,1,V Kohli,M Morkel,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
96443,980959,1,14,3,V Kohli,M Morkel,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
96447,980959,1,15,1,V Kohli,SP Narine,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
96450,980959,1,15,4,V Kohli,SP Narine,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
96453,980959,1,16,1,V Kohli,M Morkel,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
96455,980959,1,16,3,V Kohli,M Morkel,SR Watson,,2,0,2,0,0,,,,Royal Challengers Bangalore
96456,980959,1,16,4,V Kohli,M Morkel,SR Watson,,0,0,0,0,1,V Kohli,caught,AD Russell,Royal Challengers Bangalore
97213,980953,2,0,1,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97217,980953,2,0,5,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97222,980953,2,1,4,V Kohli,B Kumar,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
97223,980953,2,1,5,V Kohli,B Kumar,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97225,980953,2,2,1,V Kohli,A Nehra,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
97226,980953,2,2,2,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97228,980953,2,2,4,V Kohli,A Nehra,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
97229,980953,2,2,5,V Kohli,A Nehra,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
97230,980953,2,2,6,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97231,980953,2,3,1,V Kohli,B Kumar,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97236,980953,2,3,6,V Kohli,B Kumar,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
97237,980953,2,3,7,V Kohli,B Kumar,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97238,980953,2,4,1,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97240,980953,2,4,3,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97242,980953,2,4,5,V Kohli,A Nehra,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
97244,980953,2,5,1,V Kohli,Mustafizur Rahman,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
97245,980953,2,5,2,V Kohli,Mustafizur Rahman,KL Rahul,,0,0,0,0,1,V Kohli,caught,A Ashish Reddy,Royal Challengers Bangalore
98989,980937,1,0,1,V Kohli,P Kumar,SR Watson,,0,0,0,0,0,,,,Royal Challengers Bangalore
98990,980937,1,0,2,V Kohli,P Kumar,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
98994,980937,1,0,6,V Kohli,P Kumar,SR Watson,,0,0,0,0,0,,,,Royal Challengers Bangalore
98997,980937,1,1,3,V Kohli,DS Kulkarni,SR Watson,,1,0,1,0,0,,,,Royal Challengers Bangalore
98999,980937,1,1,5,V Kohli,DS Kulkarni,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99001,980937,1,2,1,V Kohli,P Kumar,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
99002,980937,1,2,2,V Kohli,P Kumar,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99004,980937,1,2,4,V Kohli,P Kumar,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
99005,980937,1,2,5,V Kohli,P Kumar,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
99006,980937,1,2,6,V Kohli,P Kumar,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
99008,980937,1,3,2,V Kohli,DS Kulkarni,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
99009,980937,1,3,3,V Kohli,DS Kulkarni,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99012,980937,1,3,6,V Kohli,DS Kulkarni,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99013,980937,1,4,1,V Kohli,PV Tambe,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
99014,980937,1,4,2,V Kohli,PV Tambe,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
99015,980937,1,4,3,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99017,980937,1,4,5,V Kohli,PV Tambe,AB de Villiers,,0,0,0,0,0,,,,Royal Challengers Bangalore
99018,980937,1,4,6,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99019,980937,1,5,1,V Kohli,SB Jakati,AB de Villiers,,4,0,4,0,0,,,,Royal Challengers Bangalore
99020,980937,1,5,2,V Kohli,SB Jakati,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99022,980937,1,5,4,V Kohli,SB Jakati,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99026,980937,1,6,2,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99029,980937,1,6,5,V Kohli,RA Jadeja,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99033,980937,1,7,3,V Kohli,PV Tambe,AB de Villiers,,1,0,1,0,0,,,,Royal Challengers Bangalore
99038,980937,1,8,2,V Kohli,RA Jadeja,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99042,980937,1,8,6,V Kohli,RA Jadeja,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99043,980937,1,9,1,V Kohli,PV Tambe,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
99044,980937,1,9,2,V Kohli,PV Tambe,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99046,980937,1,9,4,V Kohli,PV Tambe,KL Rahul,,4,0,4,0,0,,,,Royal Challengers Bangalore
99047,980937,1,9,5,V Kohli,PV Tambe,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99051,980937,1,10,3,V Kohli,RA Jadeja,KL Rahul,,2,0,2,0,0,,,,Royal Challengers Bangalore
99052,980937,1,10,4,V Kohli,RA Jadeja,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
99053,980937,1,10,5,V Kohli,RA Jadeja,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99058,980937,1,11,4,V Kohli,SB Jakati,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99060,980937,1,11,6,V Kohli,SB Jakati,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99061,980937,1,12,1,V Kohli,DJ Bravo,KL Rahul,,1,0,1,0,0,,,,Royal Challengers Bangalore
99065,980937,1,12,5,V Kohli,DJ Bravo,KL Rahul,,0,0,0,0,0,,,,Royal Challengers Bangalore
